word,class_a,class_b
aarpbulletin,0.000008069657281655247,0.000008069657281655247
ogf,0,0
geomarketing,0,0
uueu,0.000008069657281655247,0.000008069657281655247
cargrab,0.000008069657281655247,0.000008069657281655247
casino,0.000008069657281655247,0.000008069657281655247
reserve,0.000008069657281655247,0.000008069657281655247
falling,0.000056487600971586734,0.000056487600971586734
dug,0.000016139314563310495,0.000016139314563310495
needed,0.00018560211747807072,0.00018560211747807072
israel,0.000016139314563310495,0.000016139314563310495
pantheon,0.000016139314563310495,0.000016139314563310495
begging,0.000008069657281655247,0.000008069657281655247
vsh,0.000008069657281655247,0.000008069657281655247
plasma,0.000008069657281655247,0.000008069657281655247
reimagination,0.000008069657281655247,0.000008069657281655247
mil,0.000016139314563310495,0.000016139314563310495
revolutionize,0.00003227862912662099,0.00003227862912662099
ended,0.00003227862912662099,0.00003227862912662099
pathology,0,0
lame,0.00003227862912662099,0.00003227862912662099
nomorelicense,0.000008069657281655247,0.000008069657281655247
rvsbg,0.000008069657281655247,0.000008069657281655247
jerk,0.000008069657281655247,0.000008069657281655247
ohhh,0.000008069657281655247,0.000008069657281655247
hwiecw,0.000008069657281655247,0.000008069657281655247
gruber,0.00004034828640827624,0.00004034828640827624
probably,0.0002662986902946232,0.0002662986902946232
bigpicture,0.000008069657281655247,0.000008069657281655247
brenthamby,0.000008069657281655247,0.000008069657281655247
thingsyoudontsaytome,0.000008069657281655247,0.000008069657281655247
toward,0.00008876623009820772,0.00008876623009820772
original,0.000008069657281655247,0.000008069657281655247
effective,0.000016139314563310495,0.000016139314563310495
takingpitches,0.000008069657281655247,0.000008069657281655247
thzz,0.000008069657281655247,0.000008069657281655247
nhtsagov,0.000016139314563310495,0.000016139314563310495
boot,0.000008069657281655247,0.000008069657281655247
urvlvjdzk,0.000008069657281655247,0.000008069657281655247
unbelievable,0.000008069657281655247,0.000008069657281655247
acuhoi,0.000008069657281655247,0.000008069657281655247
distribution,0.000008069657281655247,0.000008069657281655247
comprehensive,0.000008069657281655247,0.000008069657281655247
adapting,0.000008069657281655247,0.000008069657281655247
mindblown,0.00006455725825324198,0.00006455725825324198
blvd,0.00003227862912662099,0.00003227862912662099
weeks,0.00006455725825324198,0.00006455725825324198
kvrzaqmqih,0.000008069657281655247,0.000008069657281655247
applied,0.000008069657281655247,0.000008069657281655247
lapped,0.000008069657281655247,0.000008069657281655247
worry,0.00010490554466151822,0.00010490554466151822
onetoughnerd,0.000008069657281655247,0.000008069657281655247
tire,0.00008069657281655248,0.00008069657281655248
biar,0.000008069657281655247,0.000008069657281655247
woods,0.000008069657281655247,0.000008069657281655247
marysamsonite,0.000008069657281655247,0.000008069657281655247
jeffreylapin,0.000008069657281655247,0.000008069657281655247
binge,0.000016139314563310495,0.000016139314563310495
marshalltalks,0.000008069657281655247,0.000008069657281655247
employees,0.000024208971844965745,0.000024208971844965745
lifelike,0.000008069657281655247,0.000008069657281655247
uaenqk,0.000008069657281655247,0.000008069657281655247
pevkmhhi,0.000008069657281655247,0.000008069657281655247
turk,0.000008069657281655247,0.000008069657281655247
rampant,0.000008069657281655247,0.000008069657281655247
paid,0.00004034828640827624,0.00004034828640827624
tnp,0.000008069657281655247,0.000008069657281655247
chocan,0.000008069657281655247,0.000008069657281655247
ixxcbrjj,0,0
circles,0.000008069657281655247,0.000008069657281655247
jhfugty,0.000008069657281655247,0.000008069657281655247
trillion,0.00004841794368993149,0.00004841794368993149
meanwhile,0.000016139314563310495,0.000016139314563310495
merecensullo,0.000008069657281655247,0.000008069657281655247
vrlt,0,0
xgrc,0.000008069657281655247,0.000008069657281655247
kean,0.000008069657281655247,0.000008069657281655247
kathmandu,0.000008069657281655247,0.000008069657281655247
'ma,0.000008069657281655247,0.000008069657281655247
rural,0.000016139314563310495,0.000016139314563310495
friction,0.000008069657281655247,0.000008069657281655247
qfrc,0.000008069657281655247,0.000008069657281655247
protein,0,0
bikesd,0.000008069657281655247,0.000008069657281655247
aiv,0,0
pz,0.000008069657281655247,0.000008069657281655247
rp,0.000008069657281655247,0.000008069657281655247
helicopter,0.000016139314563310495,0.000016139314563310495
markasaurus,0.000008069657281655247,0.000008069657281655247
ipevoll,0.000008069657281655247,0.000008069657281655247
idonttrustthatshit,0.000008069657281655247,0.000008069657281655247
